,Brand,Model Name,Display Size,Operating System,Call Function,Bluetooth,Wi_Fi,GPS,Display_Type,Display_Resolution,Touchscreen,Water_Resistance,Battery_Life,Price
78,SAMSUNG Galaxy Watch6,Galaxy Watch6 Classic,37.337999999999994,Android,Yes,Yes,Yes,Yes,Super AMOLED,480.0,Yes,50.0,1.6666666666666667,39999
80,Fire-Boltt Ninja Calling,Ninja Calling Pro,46.482,Android & iOS,Yes,Yes,No,No,IPS LCD,263.0,Yes,1.0,5.0,1099
82,Gedlly Android smart,Android smart mobile,40.0,Android & iOS,Yes,Yes,No,No,Other,,Yes,,0.25,649
84,Fire-Boltt Apollo 2,Apollo 2 Super,36.321999999999996,Android & iOS,Yes,Yes,No,No,AMOLED,466.0,Yes,1.0,0.2916666666666667,2499
85,Fire-Boltt Dream WristPhone,Dream WristPhone -,51.308,Android & iOS,Yes,Yes,No,No,IPS,353.0,Yes,1.0,0.16666666666666666,6999
86,"Boult Striker+ 1.39""","Striker+ 1.39"" HD,",35.306,Android & iOS,Yes,Yes,No,No,HD,240.0,Yes,1.0,7.0,1299
87,Bymaya A720 ADVANCE,A720(ID116) ADVANCE MULTI,34.0,Android & iOS,No,Yes,No,No,IPS TFt,240.0,Yes,50.0,5.0,499
89,lock deal ID116,ID116 SMART &,44.0,Android & iOS,No,Yes,No,No,TFT LED,320.0,Yes,2.0,336.0,499
90,zdea Android Smart,Android Smart Watch,,Android & iOS,Yes,Yes,No,Yes,AMOLED,320.0,Yes,,3.0,689
91,IMMUTABLE RT-Smart Watch,RT-Smart Watch ID116,1.54,Android & iOS,Yes,Yes,No,No,Other,240.0,Yes,10.0,8.0,474
92,Dicto New T800,New T800 Ultra,51.0,Android & iOS,Yes,Yes,No,Yes,HD,360.0,Yes,1.0,5.0,799
93,alt OG Max,OG Max with,45.72,Android & iOS,Yes,Yes,No,No,Other,263.0,Yes,,7.0,1199
94,CHIWAY D20 Pro,D20 Pro Touchscreen,42.0,Android & iOS,Yes,Yes,No,No,TFT LED,480.0,Yes,,1.0,405
96,boAt Storm Plus,Storm Plus with,45.211999999999996,Android & iOS,Yes,Yes,No,No,Other,408.0,Yes,,7.0,1999
97,Fire-Boltt Dream WristPhone,Dream WristPhone -,51.308,Android & iOS,Yes,Yes,No,No,IPS,353.0,Yes,1.0,0.16666666666666666,6999
98,Fire-Boltt King Luxury,King Luxury Stainless,45.211999999999996,Android & iOS,Yes,Yes,No,No,AMOLED,408.0,Yes,1.0,7.0,2999
99,Fastrack Revoltt FS1+|2.01'',Revoltt FS1+|2.01'' Biggest,51.053999999999995,Android & iOS,Yes,Yes,No,No,IPS LCD,263.0,Yes,1.5,5.0,1799
100,Pebble Cosmos Grande,Cosmos Grande 2.1,53.34,Android & iOS,Yes,Yes,No,No,HD,513.0,Yes,5.0,0.20833333333333334,2999
101,Fastrack Revoltt FS1|1.83,Revoltt FS1|1.83 Display|BT,46.48,Android & iOS,Yes,Yes,No,No,IPS LCD,262.0,Yes,1.5,5.0,1599
102,REDMI 12   ,12,172.5,,No,No,Yes,No,HD,,Yes,,,10499
103,Fire-Boltt Dream WristPhone,Dream WristPhone -,51.308,Android & iOS,Yes,Yes,No,No,IPS,353.0,Yes,1.0,0.16666666666666666,6999
104,"Fire-Boltt Blizzard 1.28""","Blizzard 1.28"" Luxury",32.512,Android & iOS,Yes,Yes,No,No,IPS TFt,240.0,Yes,1.0,7.0,3799
105,Noise Icon Buzz,"Icon Buzz 1.69""",42.925999999999995,Android & iOS,Yes,Yes,No,No,IPS LCD,260.0,Yes,1.0,7.0,1299
106,Boult Sterling Pro,Sterling Pro BT,36.32,Android & iOS,Yes,Yes,No,No,AMOLED,466.0,Yes,1.0,7.0,2199
107,REDMI A2   ,A2,165.6,,No,No,Yes,No,HD,,Yes,,,6940
108,Fire-Boltt Dream WristPhone,Dream WristPhone -,51.308,Android & iOS,Yes,Yes,No,No,IPS,353.0,Yes,1.0,0.16666666666666666,7499
109,Fire-Boltt Apollo 3,Apollo 3 Luxury,36.321999999999996,Android & iOS,Yes,Yes,No,No,AMOLED,466.0,Yes,1.0,7.0,2199
110,VINJURI Ultra T800,Ultra T800 Series,49.0,Android & iOS,Yes,Yes,No,No,AMOLED,1080.0,Yes,10.0,4.0,598
111,vivo Y33s   ,Y33s,167.10000000000002,,No,No,Yes,No,IPS LCD,,Yes,,,13985
112,Sekyo S2 SIM,S2 SIM Calling,36.0,Android & iOS,Yes,No,No,Yes,TFT LED,256.0,Yes,0.0,3.0,2320
113,TECHMAZE New T800,New T800 ULTRA,,Android & iOS,Yes,Yes,No,Yes,AMOLED,320.0,Yes,,3.0,781
114,Trackmate AV-1 BT,AV-1 BT Smart,35.0,Android,Yes,Yes,No,No,IPS TFt,240.0,Yes,120.0,0.08333333333333333,630
115,Fire-Boltt Max 1.78,Max 1.78 inch,45.211999999999996,Android & iOS,No,Yes,No,No,AMOLED,408.0,Yes,30.0,10.0,1999
116,Fire-Boltt Royale Luxury,Royale Luxury Stainless,36.32,Android & iOS,Yes,Yes,No,No,AMOLED,466.0,Yes,1.0,5.0,4899
117,StyCon T900 Ultra,"T900 Ultra ,Series",50.0,Android & iOS,Yes,Yes,Yes,No,Other,,Yes,,3.0,729
118,boAt Wave Fury,Wave Fury with,46.482,Android & iOS,Yes,Yes,No,No,Other,,Yes,,7.0,1499
119,StyCon Pack of,Pack of T800,50.0,Android & iOS,Yes,Yes,Yes,No,Other,,Yes,,3.0,619
120,AMAZFIT GTR 2,GTR 2 (New,35.306,Android & iOS,Yes,Yes,No,Yes,AMOLED,454.0,Yes,50.0,14.0,7999
121,StyCon T800 Ultra,"T800 Ultra ,Series",50.0,Android & iOS,Yes,Yes,Yes,No,Other,,Yes,,3.0,699
